User Class	Origin	Destination	Interval	Type	Probability of Choice	Vehicles Generated	Vehicles Arrived	Cost	Distance	Travel Time	Travel Time Deviation	Speed
163: Car	62107: E13	61770: I26	1970-01-02T14:00:00	Mixed		94 (100.00)	66	0	8181.29	1834.36	2370.22	16.056
163: Car	62107: E13	61889: I27	1970-01-02T14:00:00	Mixed		34 (100.00)	10	0	8714.39	4119.08	1523.24	7.61622
163: Car	62107: E13	61685: I25	1970-01-02T14:00:00	Mixed		43 (100.00)	29	0	8502.85	2879.05	2200.64	10.6321
163: Car	62107: E13	61551: I21	1970-01-02T14:00:00	Mixed		64 (100.00)	36	0	8719.58	2581.63	1969.66	12.1592
163: Car	62107: E13	61185: I12	1970-01-02T14:00:00	Mixed		154 (100.00)	62	0	3627.85	321.06	984.533	40.6785
163: Car	62107: E13	61270: I13	1970-01-02T14:00:00	Mixed		44 (100.00)	18	0	4920.72	835.834	2340.61	21.1939
163: Car	62107: E13	61479: I20	1970-01-02T14:00:00	Mixed		115 (100.00)	22	0	4879.37	1197.43	3050.36	14.6695
163: Car	62107: E13	61281: I14	1970-01-02T14:00:00	Mixed		43 (100.00)	14	0	7205.56	1168.8	2348.61	22.1936
163: Car	62107: E13	61320: I15	1970-01-02T14:00:00	Mixed		19 (100.00)	9	0	7761.05	3688.54	2698.55	7.57476
163: Car	62107: E13	61444: I19	1970-01-02T14:00:00	Mixed		88 (100.00)	3	0	6195.45	359.509	29.9241	62.0392
163: Car	62107: E13	61340: I17	1970-01-02T14:00:00	Mixed		31 (100.00)	25	0	7407.46	2016.52	2445.55	13.2242
163: Car	62107: E13	61369: I18	1970-01-02T14:00:00	Mixed		55 (100.00)	26	0	7967.31	2480.99	2483.67	11.5608
163: Car	62106: E5	61576: I22	1970-01-02T14:00:00	Mixed		23 (100.00)	5	0	7277.79	6491.23	6539.62	4.03622
163: Car	62105: E6	61634: I24	1970-01-02T14:00:00	Mixed		35 (100.00)	6	0	7751.93	3788.27	2354.74	7.36668
163: Car	62105: E6	61685: I25	1970-01-02T14:00:00	Mixed		38 (100.00)	18	0	7433.24	1623.53	1646.93	16.4824
163: Car	62106: E5	61551: I21	1970-01-02T14:00:00	Mixed		43 (100.00)	20	0	6887.62	2079.01	1937.06	11.9265
163: Car	62105: E6	61770: I26	1970-01-02T14:00:00	Mixed		53 (100.00)	40	0	7121.55	768.885	1371.68	33.3439
163: Car	62105: E6	61922: I28	1970-01-02T14:00:00	RC		214 (100.00)	213	0	762.878	67.2213	4.30549	40.8555
163: Car	62105: E6	62025: I29	1970-01-02T14:00:00	RC		15 (100.00)	5	0	5765.17	304.233	16.9975	68.2195
163: Car	62105: E6	61889: I27	1970-01-02T14:00:00	Mixed		20 (100.00)	10	0	6963.69	2767.94	2283.05	9.05701
163: Car	62105: E6	61625: I23	1970-01-02T14:00:00	Mixed		6 (100.00)	2	0	8115.71	4131.07	582.67	7.07239
163: Car	62105: E6	61281: I14	1970-01-02T14:00:00	Mixed		27 (100.00)	12	0	3078.79	196.959	15.6857	56.2739
163: Car	62105: E6	61320: I15	1970-01-02T14:00:00	Mixed		8 (100.00)	3	0	6180.59	2233	3315.39	9.96425
163: Car	62105: E6	61576: I22	1970-01-02T14:00:00	Mixed		22 (100.00)	5	0	8489.65	4006.03	1192.18	7.62918
163: Car	62105: E6	61340: I17	1970-01-02T14:00:00	Mixed		29 (100.00)	13	0	5682.4	2345.44	2845.46	8.72186
163: Car	62105: E6	61369: I18	1970-01-02T14:00:00	Mixed		32 (100.00)	19	0	6615.61	1593.68	2147.08	14.9441
163: Car	62105: E6	61551: I21	1970-01-02T14:00:00	Mixed		37 (100.00)	14	0	8155.77	2917.87	1484.6	10.0624
163: Car	62105: E6	61444: I19	1970-01-02T14:00:00	RC		43 (100.00)	3	0	6153.99	5483.8	8863.84	4.03996
163: Car	62105: E6	61479: I20	1970-01-02T14:00:00	Mixed		62 (100.00)	19	0	4808.16	2562	4435.01	6.75619
163: Car	62105: E6	62038: I30	1970-01-02T14:00:00	Mixed		110 (100.00)	61	0	5583.59	990.483	1651.99	20.2941
163: Car	62106: E5	61270: I13	1970-01-02T14:00:00	RC		11 (100.00)	5	0	3510.42	277.412	25.2353	45.555
163: Car	62106: E5	61281: I14	1970-01-02T14:00:00	RC		43 (100.00)	27	0	2777.96	188.229	11.6716	53.1303
163: Car	62106: E5	60509: I1	1970-01-02T14:00:00	Mixed		106 (100.00)	42	0	5304.34	472.003	926.317	40.4565
163: Car	62106: E5	61320: I15	1970-01-02T14:00:00	Mixed		4 (100.00)	3	0	5734.98	2881.12	2342.96	7.16594
163: Car	62106: E5	61340: I17	1970-01-02T14:00:00	Mixed		39 (100.00)	8	0	4747.84	1750.41	2793.02	9.7647
163: Car	62106: E5	61479: I20	1970-01-02T14:00:00	Mixed		54 (100.00)	15	0	5333.84	1131.02	2249.45	16.9774
163: Car	62106: E5	61369: I18	1970-01-02T14:00:00	Mixed		58 (100.00)	25	0	5511.52	2100.15	2349.17	9.44764
163: Car	62106: E5	61444: I19	1970-01-02T14:00:00	Mixed		44 (100.00)	13	0	6109.4	1151.06	1938.32	19.1075
163: Car	62106: E5	61185: I12	1970-01-02T14:00:00	RC		67 (100.00)	35	0	3123.17	221.523	15.4823	50.755
163: Car	62106: E5	60609: I2	1970-01-02T14:00:00	Mixed		237 (100.00)	83	0	5085.7	1012.97	1723.29	18.0741
163: Car	62106: E5	60690: I3	1970-01-02T14:00:00	Mixed		96 (100.00)	38	0	6026.24	1211.26	1764.37	17.9107
163: Car	62106: E5	61160: I11	1970-01-02T14:00:00	RC		59 (100.00)	59	0	2805.35	192.965	15.9681	52.3372
163: Car	62106: E5	60715: I4	1970-01-02T14:00:00	RC		208 (100.00)	208	0	85.0598	5.61505	0.434367	54.5347
163: Car	62106: E5	60796: I6	1970-01-02T14:00:00	RC		483 (100.00)	479	0	985.915	70.7732	5.36322	50.1502
163: Car	62106: E5	61153: I10	1970-01-02T14:00:00	RC		14 (100.00)	3	0	3127.66	153.422	9.50572	73.3899
163: Car	62106: E5	60941: I7	1970-01-02T14:00:00	RC		99 (100.00)	43	0	1370.16	94.2062	7.81149	52.3594
163: Car	62106: E5	61034: I8	1970-01-02T14:00:00	RC		133 (100.00)	68	0	2510.4	172.971	13.2377	52.2483
163: Car	61551: I21	61185: I12	1970-01-02T14:00:00	RC		2 (100.00)	0	0	3709	0	0	
163: Car	60941: I7	60609: I2	1970-01-02T14:00:00	Mixed		30 (100.00)	10	0	4312.38	805.5	1910.54	19.2732
163: Car	60941: I7	60715: I4	1970-01-02T14:00:00	RC		43 (100.00)	22	0	838.424	101.334	36.0829	29.7858
163: Car	61551: I21	61160: I11	1970-01-02T14:00:00	RC		1 (100.00)	0	0	7106.3	0	0	
163: Car	60941: I7	60796: I6	1970-01-02T14:00:00	RC		74 (100.00)	74	0	504.784	40.5764	2.493	44.7853
163: Car	60941: I7	61153: I10	1970-01-02T14:00:00	RC		5 (100.00)	3	0	2063.44	95.049	4.46019	78.1532
163: Car	60941: I7	61160: I11	1970-01-02T14:00:00	RC		10 (100.00)	10	0	1656.49	135.428	5.29675	44.0336
163: Car	60941: I7	61034: I8	1970-01-02T14:00:00	RC		97 (100.00)	71	0	187.142	29.6582	3.64234	22.7158
163: Car	60941: I7	60509: I1	1970-01-02T14:00:00	Mixed		28 (100.00)	13	0	4755.59	274.056	66.7751	62.4694
163: Car	60796: I6	62101: E12	1970-01-02T14:00:00	RC		437 (100.00)	434	0	1435.45	110.125	6.61195	46.925
163: Car	60796: I6	62105: E6	1970-01-02T14:00:00	RC		323 (100.00)	323	0	183.225	17.6409	1.15632	37.3909
163: Car	60796: I6	62116: E19	1970-01-02T14:00:00	RC		1 (100.00)	0	0	9244.1	0	0	
163: Car	60796: I6	62106: E5	1970-01-02T14:00:00	RC		455 (100.00)	454	0	846.979	75.3685	6.11406	40.4562
163: Car	60796: I6	62107: E13	1970-01-02T14:00:00	Mixed		236 (100.00)	185	0	3960.57	164.137	10.1019	86.8666
163: Car	60796: I6	62115: E20	1970-01-02T14:00:00	Mixed		267 (100.00)	131	0	7693.15	2228.46	2018.8	12.428
163: Car	60796: I6	62111: E4	1970-01-02T14:00:00	Mixed		907 (100.00)	417	0	5655.73	1228.02	1935.25	16.58
163: Car	60796: I6	62113: E21	1970-01-02T14:00:00	Mixed		491 (100.00)	239	0	7647.03	3380.83	4431.68	8.14276
163: Car	60941: I7	61185: I12	1970-01-02T14:00:00	RC		39 (100.00)	39	0	1071.66	85.2037	5.76883	45.2792
163: Car	60941: I7	61634: I24	1970-01-02T14:00:00	Mixed		10 (100.00)	1	0	5888.04	5039.5	0	4.20616
163: Car	60941: I7	61685: I25	1970-01-02T14:00:00	Mixed		6 (100.00)	3	0	5970.51	2529.69	738.355	8.49665
163: Car	60941: I7	61270: I13	1970-01-02T14:00:00	RC		10 (100.00)	9	0	1458.9	138.588	2.00849	37.8969
163: Car	60941: I7	61770: I26	1970-01-02T14:00:00	Mixed		9 (100.00)	2	0	5358.5	2501.16	3165.09	7.71268
163: Car	60941: I7	61922: I28	1970-01-02T14:00:00	RC		29 (100.00)	22	0	1997.14	159.999	7.87023	44.936
163: Car	60941: I7	62025: I29	1970-01-02T14:00:00	RC		2 (100.00)	2	0	3863.47	198.93	1.79291	69.9164
163: Car	60941: I7	61889: I27	1970-01-02T14:00:00	Mixed		3 (100.00)	1	0	6201.5	1580.24	0	14.1279
163: Car	60941: I7	61625: I23	1970-01-02T14:00:00	RC		3 (100.00)	0	0	6261.22	0	0	
163: Car	60941: I7	61281: I14	1970-01-02T14:00:00	RC		48 (100.00)	48	0	726.448	60.2621	3.23422	43.3973
163: Car	60941: I7	61320: I15	1970-01-02T14:00:00	RC		8 (100.00)	8	0	2289.53	181.665	12.6764	45.3709
163: Car	60941: I7	61576: I22	1970-01-02T14:00:00	RC		8 (100.00)	0	0	4331.27	0	0	
163: Car	60941: I7	61340: I17	1970-01-02T14:00:00	Mixed		7 (100.00)	1	0	4256.28	4194.76	0	3.6528
163: Car	60941: I7	61369: I18	1970-01-02T14:00:00	Mixed		20 (100.00)	9	0	4838.03	1528.89	1917.96	11.3918
163: Car	60941: I7	61551: I21	1970-01-02T14:00:00	Mixed		12 (100.00)	7	0	6324.97	2011.33	1154.18	11.3208
163: Car	60941: I7	61444: I19	1970-01-02T14:00:00	Mixed		22 (100.00)	1	0	4017.49	237.695	0	60.8467
163: Car	60941: I7	61479: I20	1970-01-02T14:00:00	Mixed		20 (100.00)	5	0	2666.32	152.631	8.57891	62.8886
163: Car	60796: I6	62038: I30	1970-01-02T14:00:00	Mixed		66 (100.00)	27	0	4941.41	768.439	1530.38	23.1496
163: Car	60796: I6	60609: I2	1970-01-02T14:00:00	Mixed		232 (100.00)	205	0	6307	510.206	778.594	44.502
163: Car	60796: I6	60690: I3	1970-01-02T14:00:00	RC		20 (100.00)	11	0	6707	382.596	25.0516	63.1089
163: Car	60796: I6	62025: I29	1970-01-02T14:00:00	RC		4 (100.00)	1	0	5301.34	295.488	0	64.5874
163: Car	60796: I6	60715: I4	1970-01-02T14:00:00	RC		99 (100.00)	98	0	392.346	41.7679	1.30867	33.8165
163: Car	60796: I6	61034: I8	1970-01-02T14:00:00	RC		64 (100.00)	41	0	1746.38	117.439	6.85449	53.534
163: Car	60796: I6	61153: I10	1970-01-02T14:00:00	RC		6 (100.00)	6	0	1716.87	113.494	7.88286	54.4589
163: Car	60796: I6	60941: I7	1970-01-02T14:00:00	Mixed		84 (100.00)	53	0	1137.03	75.3152	4.33761	54.3488
163: Car	60796: I6	60509: I1	1970-01-02T14:00:00	Mixed		27 (100.00)	14	0	6312.52	1420.65	2170.16	15.9962
163: Car	60793: I5	61685: I25	1970-01-02T14:00:00	RC		2 (100.00)	0	0	6022.18	0	0	
163: Car	60793: I5	61922: I28	1970-01-02T14:00:00	RC		3 (100.00)	2	0	3249.66	171.972	11.4333	68.0271
163: Car	60793: I5	62113: E21	1970-01-02T14:00:00	Mixed		7 (100.00)	4	0	6451.32	4738.26	7229.34	4.90154
163: Car	60793: I5	62101: E12	1970-01-02T14:00:00	RC		3 (100.00)	2	0	3975.09	197.046	9.42561	72.6242
163: Car	60793: I5	62105: E6	1970-01-02T14:00:00	RC		4 (100.00)	2	0	2612.85	182.271	9.55992	51.606
163: Car	60793: I5	62111: E4	1970-01-02T14:00:00	RC		10 (100.00)	4	0	4087.75	192.128	17.4838	76.5944
163: Car	60793: I5	62106: E5	1970-01-02T14:00:00	RC		3 (100.00)	1	0	1457.62	95.4126	0	54.9972
163: Car	60793: I5	62107: E13	1970-01-02T14:00:00	RC		4 (100.00)	4	0	2959.24	114.05	4.04428	93.4084
163: Car	60796: I6	61160: I11	1970-01-02T14:00:00	RC		51 (100.00)	51	0	547.688	41.6598	3.04995	47.328
